pk,jsondata,polymorphic_type,id,name,description,markup_description,latitude,longitude
242,{},custom,sad,Sandawe,,,-5.26918,35.4808
243,{},custom,mcr,Menya,,,-7.17425,146.071
244,{},custom,lgu,Longgu,,,-9.75258,160.663
245,{},custom,fuv,Nigerian Fulfulde,,,10.9972,11.1188
246,{},custom,fut,Futuna-Aniwa,,,-19.5303,170.215
247,{},custom,tsu,Tsou,,,23.216,120.787
248,{},custom,cuj,Mashco Piro,,,-11.4745,-70.7953
249,{},custom,fuf,Pular,,,12.1826,-12.7338
250,{},custom,aio,Aiton,,,26.5145,92.3169
251,{},custom,mlv,Mwotlap,,,-13.6535,167.673
252,{},custom,fuc,Pulaar,,,13.8694,-13.4482
253,{},custom,cox,Nanti,,,-12.1018,-72.3507
254,{},custom,yss,Yessan-Mayo,,,-4.15721,142.574
255,{},custom,gni,Gooniyandi,,,-18.4073,126.351
256,{},custom,aia,Arosi,,,-10.2441,161.432
257,{},custom,rit,Ritarungo,,,-13.4559,135.259
258,{},custom,avn,Avatime,,,6.8688,0.41314
259,{},custom,cjm,Eastern Cham,,,11.2853,108.49
260,{},custom,tqu,Touo,,,-8.58405,157.296
261,{},custom,pab,Parecís,,,-14.5929,-57.4059
262,{},custom,NOCODE_Maipure,Maipure,,,4.8,-67.5
263,{},custom,anz,Anem,,,-5.54836,148.993
264,{},custom,phk,Phake,,,27.8197,95.8131
265,{},custom,syk,Sukur,,,10.8933,13.6437
266,{},custom,nia,Nias,,,0.90691,97.4961
267,{},custom,nid,Ngandi,,,-12.8448,134.649
268,{},custom,kij,Kilivila,,,-8.72574,151.072
269,{},custom,kqw,Kandas,,,-4.3652,152.781
270,{},custom,NOCODE_Ngala-Santandrea,Ngala-Santandrea,,,6.63187,24.61853
271,{},custom,zyb,Yongbei Zhuang,,,23.6818,107.184
272,{},custom,thd,Thayore,,,-14.8159,142.034
273,{},custom,ccc,Chamicuro,,,-5.1149,-75.6778
274,{},custom,xed,Hdi,,,10.942,13.6881
275,{},custom,yee,Yimas,,,-4.71731,143.572
276,{},custom,yey,Yeyi,,,-18.9178,23.6088
277,{},custom,pss,Kaulong,,,-6.08192,149.696
278,{},custom,tcd,Tafi,,,6.79522,0.39875
279,{},custom,gdn,Umanakaina,,,-9.89671,149.658
280,{},custom,rgr,Resígaro,,,-2.48139,-71.3578
281,{},custom,skq,Sininkere,,,13.7206,-0.78772
282,{},custom,adz,Adzera,,,-6.39394,146.294
283,{},custom,tio,Teop,,,-5.67474,154.971
284,{},custom,bnn,Bunun,,,23.4116,121.025
285,{},custom,hau,Hausa,,,11.1513,8.7804
286,{},custom,amh,Amharic,,,11.7082,39.5435
287,{},custom,mor,Moro,,,10.9194,30.2138
288,{},custom,ame,Yanesha',,,-10.5454,-75.315
289,{},custom,amz,Atampaya,,,-11.0018,142.273
290,{},custom,amp,Alamblak,,,-4.66307,143.316
291,{},custom,moa,Mwan,,,7.87533,-5.94577
292,{},custom,lcm,Tungag,,,-2.52188,150.198
293,{},custom,mhl,Mauwake,,,-4.52416,145.394
294,{},custom,wbp,Warlpiri,,,-20.1008,131.05
295,{},custom,wbj,Alagwa,,,-4.64148,35.7231
296,{},custom,mhs,Buru (Indonesia),,,-3.43957,126.632
297,{},custom,tvl,Tuvalu,,,-8.5,179.17
298,{},custom,tvo,Tidore,,,0.02461,127.746
299,{},custom,tms,Tima,,,11.7176,29.1632
300,{},custom,kmc,Southern Dong,,,25.8874,109.222
301,{},custom,for,Fore,,,-6.64473,145.507
302,{},custom,gvf,Golin,,,-6.2249,144.85
303,{},custom,kms,Kamasau,,,-3.8503,143.842
304,{},custom,cni,Asháninka,,,-11.9311,-73.9073
305,{},custom,plu,Palikúr,,,3.63993,-51.6246
306,{},custom,plt,Plateau Malagasy,,,-19.5907,47.1211
307,{},custom,rug,Roviana,,,-8.20493,157.408
308,{},custom,cgg,Chiga,,,-1.04387,29.9122
309,{},custom,pyu,Puyuma,,,22.643,120.996
310,{},custom,aca,Achagua,,,4.38649,-72.2005
311,{},custom,twe,Teiwa,,,-8.37662,124.174
312,{},custom,nde,North Ndebele,,,-20.2513,27.4096
313,{},custom,ndg,Ndengereko,,,-7.54628,38.958
314,{},custom,yle,Yele,,,-11.3796,154.127
315,{},custom,zul,Zulu,,,-25.3305,31.3512
316,{},custom,bjg,Bidyogo,,,11.1097,-16.1497
317,{},custom,mbh,Mangseng,,,-5.89752,150.68
318,{},custom,bjo,Mid-Southern Banda,,,5.87893,22.4666
319,{},custom,som,Somali,,,4.778704,45.152856
320,{},custom,soq,Kanasi,,,-10.1658,149.751
321,{},custom,mbq,Maisin,,,-9.22853,148.731
322,{},custom,wan,Wan,,,7.88773,-5.82092
323,{},custom,yre,Yaouré,,,6.95282,-5.57851
324,{},custom,lom,Loma (Liberia),,,7.91585,-9.69906
325,{},custom,gid,Gidar,,,9.87471,14.0785
326,{},custom,gin,Hinuq,,,42.4502,45.8064
327,{},custom,wau,Waurá,,,-13.296,-53.6971
328,{},custom,mky,East Makian,,,0.07337,127.423
329,{},custom,wap,Wapishana,,,2.58744,-59.8021
330,{},custom,pwg,Gapapaiwa,,,-9.73317,149.854
331,{},custom,buo,Terei,,,-6.70051,155.745
332,{},custom,wnu,Usan,,,-4.84265,145.362
333,{},custom,pwn,Paiwan,,,22.3271,120.806
334,{},custom,mtg,Una,,,-4.69676,140.1
335,{},custom,lvk,Lavukaleve,,,-9.05569,159.119
336,{},custom,nnm,Namia,,,-3.85538,141.788
337,{},custom,pio,Piapoco,,,4.37718,-68.5953
338,{},custom,cbi,Cha'palaa,,,0.71489,-79.0508
339,{},custom,inp,Iñapari,,,-12.4653,-69.3083
340,{},custom,ind,Indonesian,,,-7.33458,109.716
341,{},custom,khe,Korowai,,,-5.26952,140.047
342,{},custom,piv,Vaeakau-Taumako,,,-9.95114,167.207
343,{},custom,myf,Mao,,,9.82554,34.6522
344,{},custom,kqr,Kimaragang,,,6.61982,116.96
345,{},custom,naf,Nabak,,,-6.42709,146.966
346,{},custom,nak,Nakanai,,,-5.59931,150.888
347,{},custom,tiv,Tiv,,,6.88039,9.26287
348,{},custom,tiw,Tiwi,,,-11.6308,130.949
349,{},custom,nal,Nalik,,,-2.94411,151.332
350,{},custom,xkz,Kurtokha,,,27.5365,90.9822
351,{},custom,nas,Naasioi,,,-6.46022,155.632
352,{},custom,naq,Nama,,,-25.0747,17.9767
353,{},custom,ign,Ignaciano,,,-15.1188,-65.3993
354,{},custom,nay,Narrinyeri,,,-36.2301,140.158
355,{},custom,tic,Tira,,,11.0963,30.8092
356,{},custom,kvc,Kove,,,-5.58623,149.63
357,{},custom,ago,Tainae,,,-7.40306,145.682
358,{},custom,bcm,Bannoni,,,-6.23061,155.128
359,{},custom,bco,Kaluli,,,-6.45932,142.788
360,{},custom,bcj,Bardi,,,-16.6274,122.906
361,{},custom,bcq,Bench,,,7.04682,35.7673
362,{},custom,svs,Savosavo,,,-9.12853,159.814
