pk,jsondata,polymorphic_type,id,name,description,markup_description,parameter_pk,number,abbr
1126,"{""icon"": ""ccccccc""}",base,88-N/A,N/A,Not Applicable,,278,3,
1127,"{""icon"": ""cff66ff""}",base,88-?,?,Not known,,278,2,
1128,"{""icon"": ""c000000""}",base,89-1,1,present,,279,1,
1129,"{""icon"": ""c990099""}",base,89-0,0,absent,,279,0,
1130,"{""icon"": ""ccccccc""}",base,89-N/A,N/A,Not Applicable,,279,3,
1131,"{""icon"": ""cff66ff""}",base,89-?,?,Not known,,279,2,
1132,"{""icon"": ""c000000""}",base,9-1,1,present,,280,1,
1133,"{""icon"": ""c9999ff""}",base,9-0,0,absent,,280,0,
1134,"{""icon"": ""cff4400""}",base,9-?,?,Not known,,280,2,
1135,"{""icon"": ""c000000""}",base,90-1,1,present,,281,1,
1136,"{""icon"": ""c990099""}",base,90-0,0,absent,,281,0,
1137,"{""icon"": ""ccccccc""}",base,90-N/A,N/A,Not Applicable,,281,3,
1138,"{""icon"": ""cff66ff""}",base,90-?,?,Not known,,281,2,
1139,"{""icon"": ""c000000""}",base,91-1,1,present,,282,1,
1140,"{""icon"": ""c990099""}",base,91-0,0,absent,,282,0,
1141,"{""icon"": ""ccccccc""}",base,91-N/A,N/A,Not Applicable,,282,3,
1142,"{""icon"": ""cff66ff""}",base,91-?,?,Not known,,282,2,
1143,"{""icon"": ""c000000""}",base,92-1,1,present,,283,1,
1144,"{""icon"": ""c990099""}",base,92-0,0,absent,,283,0,
1145,"{""icon"": ""ccccccc""}",base,92-N/A,N/A,Not Applicable,,283,3,
1146,"{""icon"": ""cff66ff""}",base,92-?,?,Not known,,283,2,
1147,"{""icon"": ""c000000""}",base,93-1,1,present,,284,1,
1148,"{""icon"": ""c990099""}",base,93-0,0,absent,,284,0,
1149,"{""icon"": ""ccccccc""}",base,93-N/A,N/A,Not Applicable,,284,3,
1150,"{""icon"": ""cff66ff""}",base,93-?,?,Not known,,284,2,
1151,"{""icon"": ""c000000""}",base,94-1,1,present,,285,1,
1152,"{""icon"": ""c990099""}",base,94-0,0,absent,,285,0,
1153,"{""icon"": ""ccccccc""}",base,94-N/A,N/A,Not Applicable,,285,3,
1154,"{""icon"": ""cff66ff""}",base,94-?,?,Not known,,285,2,
1155,"{""icon"": ""c000000""}",base,95-1,1,present,,286,1,
1156,"{""icon"": ""c990099""}",base,95-0,0,absent,,286,0,
1157,"{""icon"": ""ccccccc""}",base,95-N/A,N/A,Not Applicable,,286,3,
1158,"{""icon"": ""cff66ff""}",base,95-?,?,Not known,,286,2,
1159,"{""icon"": ""c000000""}",base,96-1,1,present,,287,1,
1160,"{""icon"": ""c990099""}",base,96-0,0,absent,,287,0,
1161,"{""icon"": ""ccccccc""}",base,96-N/A,N/A,Not Applicable,,287,3,
1162,"{""icon"": ""cff66ff""}",base,96-?,?,Not known,,287,2,
1163,"{""icon"": ""c000000""}",base,97-1,1,present,,288,1,
1164,"{""icon"": ""c990099""}",base,97-0,0,absent,,288,0,
1165,"{""icon"": ""ccccccc""}",base,97-N/A,N/A,Not Applicable,,288,3,
1166,"{""icon"": ""cff66ff""}",base,97-?,?,Not known,,288,2,
1167,"{""icon"": ""c000000""}",base,98-1,1,present,,289,1,
1168,"{""icon"": ""c990099""}",base,98-0,0,absent,,289,0,
1169,"{""icon"": ""ccccccc""}",base,98-N/A,N/A,Not Applicable,,289,3,
1170,"{""icon"": ""cff66ff""}",base,98-?,?,Not known,,289,2,
1171,"{""icon"": ""c000000""}",base,99-1,1,present,,290,1,
1172,"{""icon"": ""c990099""}",base,99-0,0,absent,,290,0,
1173,"{""icon"": ""ccccccc""}",base,99-N/A,N/A,Not Applicable,,290,3,
1174,"{""icon"": ""cff66ff""}",base,99-?,?,Not known,,290,2,
