pk,jsondata,polymorphic_type,id,name,description,markup_description,parameter_pk,number,abbr
134,"{""icon"": ""c9999ff""}",base,13-0,0,absent,,35,0,
135,"{""icon"": ""cff4400""}",base,13-?,?,Not known,,35,2,
136,"{""icon"": ""c000000""}",base,130-1,1,SV,,36,0,
137,"{""icon"": ""c66ff33""}",base,130-3,3,both,,36,2,
138,"{""icon"": ""c99ffff""}",base,130-2,2,VS,,36,1,
139,"{""icon"": ""cdd0000""}",base,130-N/A,N/A,Not Applicable,,36,4,
140,"{""icon"": ""cff66ff""}",base,130-?,?,Not known,,36,3,
141,"{""icon"": ""c000000""}",base,131-1,1,present,,37,1,
142,"{""icon"": ""c990099""}",base,131-0,0,absent,,37,0,
143,"{""icon"": ""ccccccc""}",base,131-N/A,N/A,Not Applicable,,37,3,
144,"{""icon"": ""cff66ff""}",base,131-?,?,Not known,,37,2,
145,"{""icon"": ""c000000""}",base,132-1,1,present,,38,1,
146,"{""icon"": ""c990099""}",base,132-0,0,absent,,38,0,
147,"{""icon"": ""ccccccc""}",base,132-N/A,N/A,Not Applicable,,38,3,
148,"{""icon"": ""cff66ff""}",base,132-?,?,Not known,,38,2,
149,"{""icon"": ""c000000""}",base,133-1,1,present,,39,1,
150,"{""icon"": ""c990099""}",base,133-0,0,absent,,39,0,
151,"{""icon"": ""ccccccc""}",base,133-N/A,N/A,Not Applicable,,39,3,
152,"{""icon"": ""cff66ff""}",base,133-?,?,Not known,,39,2,
153,"{""icon"": ""c000000""}",base,134-1,1,present,,40,1,
154,"{""icon"": ""c990099""}",base,134-0,0,absent,,40,0,
155,"{""icon"": ""ccccccc""}",base,134-N/A,N/A,Not Applicable,,40,3,
156,"{""icon"": ""cff66ff""}",base,134-?,?,Not known,,40,2,
157,"{""icon"": ""c000000""}",base,135-1,1,present,,41,1,
158,"{""icon"": ""c990099""}",base,135-0,0,absent,,41,0,
159,"{""icon"": ""ccccccc""}",base,135-N/A,N/A,Not Applicable,,41,3,
160,"{""icon"": ""cff66ff""}",base,135-?,?,Not known,,41,2,
161,"{""icon"": ""c000000""}",base,136-1,1,present,,42,1,
162,"{""icon"": ""c990099""}",base,136-0,0,absent,,42,0,
