pk,jsondata,polymorphic_type,id,name,description,markup_description,glottolog_id,google_book_search_id,bibtex_type,author,year,title,type,booktitle,editor,pages,edition,journal,school,address,url,note,number,series,volume,publisher,organization,chapter,howpublished,year_int,startpage_int,pages_int
108,"{""gbs"": {}}",base,sreesinksulka,Reesink 2005,Sulka of East New Britain: A Mixture of Oceanic and Papuan Traits,,,,article,"Reesink, Ger",2005,Sulka of East New Britain: A Mixture of Oceanic and Papuan Traits,,,,145-193,,Oceanic Linguistics,,,,,1,,44,,,,,,,
109,"{""gbs"": {}}",base,grosspaolwaskia,Ross and Paol 1978,A Waskia Grammar Sketch and Vocabulary,,,,book,"Ross, Malcolm and Paol, John Natu",1978,A Waskia Grammar Sketch and Vocabulary,,,,119,,,,,,,,Pacific Linguistics: Series B,56,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
110,"{""gbs"": {}}",base,slynchiaai,Lynch 2002,Iaai,,,,incollection,"Lynch, John",2002,Iaai,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",776-791,,,,Richmond,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
111,"{""gbs"": {}}",base,slynchulithian,Lynch 2002,Ulithian,,,,incollection,"Lynch, John",2002,Ulithian,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",792-803,,,,,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
112,"{""gbs"": {}}",base,gsohnbenderulithian,Sohn and Bender 1973,A Ulithian Grammar,,,,book,"Sohn, Ho-Min and Bender, Byron W.",1973,A Ulithian Grammar,,,,398,,,,Canberra,,,,Pacific Linguistics: Series C,27,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
113,"{""gbs"": {}}",base,sschmidtrotuman,Schmidt 2002,Rotuman,,,,incollection,"Schmidt, Hans",2002,Rotuman,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",815-832,,,,,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
114,"{""gbs"": {}}",base,slynchmarquesan,Lynch 2002,Marquesan,,,,incollection,"Lynch, John",2002,Marquesan,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",865-876,,,,,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
115,"{""gbs"": {}}",base,grobinsonrotokas2007,Robinson 2007,Split intransitivity in the Rotokas language of Bougainville,,,,misc,"Robinson, Stuart P.",2007,Split intransitivity in the Rotokas language of Bougainville,,,,,,,,,,,,,,,,,"PhD thesis (version December 2, 2007)",,,
116,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 56, ""imageLinks"": {""smallThumbnail"": ""http://bks5.books.google.de/books?id=yXAvAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api"", ""thumbnail"": ""http://bks5.books.google.de/books?id=yXAvAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api""}, ""previewLink"": ""http://books.google.de/books?id=yXAvAAAAMAAJ&q=inauthor:Feldpausch,+Thomas+and+Feldpausch,+Becky+intitle:Namia+grammar+essentials+inpublisher:Summer+Institute+of+Linguistics&dq=inauthor:Feldpausch,+Thomas+and+Feldpausch,+Becky+intitle:Namia+grammar+essentials+inpublisher:Summer+Institute+of+Linguistics&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""2001"", ""printType"": ""BOOK"", ""contentVersion"": ""0.0.1.0.preview.0"", ""industryIdentifiers"": [{""identifier"": ""UOM:39015051769456"", ""type"": ""OTHER""}], ""authors"": [""Becky Feldpausch""], ""title"": ""Namia, Tok Pisin and English Dictionary"", ""infoLink"": ""http://books.google.de/books?id=yXAvAAAAMAAJ&dq=inauthor:Feldpausch,+Thomas+and+Feldpausch,+Becky+intitle:Namia+grammar+essentials+inpublisher:Summer+Institute+of+Linguistics&hl=&source=gbs_api"", ""categories"": [""English""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/Namia_Tok_Pisin_and_English_Dictionary.html?hl=&id=yXAvAAAAMAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""cOYSuGZCTWM"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=yXAvAAAAMAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""yXAvAAAAMAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/yXAvAAAAMAAJ""}}",base,gfeldpauschfeldpauschnamia,Feldpausch and Feldpausch 1992,Namia grammar essentials,,,yXAvAAAAMAAJ,incollection,"Feldpausch, Thomas and Feldpausch, Becky",1992,Namia grammar essentials,,Namia and Amanab grammar essentials,"Roberts, John R.",1-97,,,,Ukarumpa,http://www.sil.org/pacific/png/abstract.asp?id=34683,,,Data Papers on Papua New Guinea Languages,39,Ukarumpa: Summer Institute of Linguistics,,,,,,
117,"{""gbs"": {}}",base,wfeldpauschnamia,Feldpausch 2001,"Almalu kali, eyo kali, i walowei luk kali (Namia, Tok Pisin, and English dictionary)",,,,book,"Feldpausch, Becky",2001,"Almalu kali, eyo kali, i walowei luk kali (Namia, Tok Pisin, and English dictionary)",,,,56,,,,,,,,,,Ukarumpa,,,,,,
118,"{""gbs"": {}}",base,stryonbuma,Tryon 2002,Buma,,,,incollection,"Tryon, Darrell",2002,Buma,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",573-586,,,,Richmond,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
119,"{""gbs"": {}}",base,srossmussau,Ross 2002,Mussau,,,,incollection,"Ross, Malcolm",2002,Mussau,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",148-166,,,,Richmond,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
120,"{""gbs"": {}}",base,gbrowniebrowniemussau,Brownie and Brownie 2007,Mussau Grammar Essentials,,,,book,"Brownie, John and Brownie, Marjo",2007,Mussau Grammar Essentials,,,,iv+221,,,,Ukarumpa,http://www.sil.org/pacific/png/abstract.asp?id=48552,,,Data Papers on Papua New Guinea Languages,52,Ukarumpa: Summer Institute of Linguistics,,,,,,
121,"{""gbs"": {}}",base,gseilerimonda,Seiler 1985,"Imonda, a Papuan Language",,,,book,"Seiler, Walter",1985,"Imonda, a Papuan Language",,,,v+236,,,,,,,,Pacific Linguistics: Series B,93,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
122,"{""gbs"": {}}",base,gseilerimonda1985,Seiler 1985,"The Imonda language, West Sepik Province, P.N.G.",,,,phdthesis,"Seiler, Walter M.",1985,"The Imonda language, West Sepik Province, P.N.G.",,,,,,,Canberra: Australian National University,,,,,,,,,,,,,
123,"{""gbs"": {}}",base,srossbalivitu,Ross 2002,Bali-Vitu,,,,incollection,"Ross, Malcolm",2002,Bali-Vitu,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",362-386,,,,Richmond,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
124,"{""gbs"": {}}",base,slynchrossbanoni,Lynch and Ross 2002,Banoni,,,,incollection,"Lynch, John and Ross, Malcolm",2002,Banoni,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",440-455,,,,Richmond,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
125,"{""gbs"": {}}",base,smcguckingapapaiwa,McGuckin 2002,Gapapaiwa,,,,incollection,"McGuckin, Catherine",2002,Gapapaiwa,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",297-321,,,,,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
126,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 682, ""previewLink"": ""http://books.google.de/books?id=U_OptgAACAAJ&dq=inauthor:Palmer,+Bill+intitle:A+Grammar+of+the+Kokota+Language,+Santa+Isabel,+Solomon+Islands&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""1999"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:222542115"", ""type"": ""OTHER""}], ""authors"": [""Bill Palmer""], ""title"": ""A Grammar of the Kokota Language, Santa Isabel, Solomon Islands"", ""infoLink"": ""http://books.google.de/books?id=U_OptgAACAAJ&dq=inauthor:Palmer,+Bill+intitle:A+Grammar+of+the+Kokota+Language,+Santa+Isabel,+Solomon+Islands&hl=&source=gbs_api"", ""categories"": [""Solomon Islands""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/A_Grammar_of_the_Kokota_Language_Santa_I.html?hl=&id=U_OptgAACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""GVFabKMJqLc"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=U_OptgAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""U_OptgAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/U_OptgAACAAJ""}}",base,gpalmerkokota1999,Palmer 1999,"A Grammar of the Kokota Language, Santa Isabel, Solomon Islands",,,U_OptgAACAAJ,phdthesis,"Palmer, Bill",1999,"A Grammar of the Kokota Language, Santa Isabel, Solomon Islands",,,,682,,,University of Sydney,,,,,,,,,,,,,
127,"{""gbs"": {}}",base,spalmerkokota,Palmer 2002,Kokota,,,,incollection,"Palmer, Bill",2002,Kokota,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",498-524,,,,Richmond,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
128,"{""gbs"": {}}",base,srosssiar,Ross 2002,Siar,,,,incollection,"Ross, Malcolm",2002,Siar,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",410-425,,,,Richmond,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
129,"{""gbs"": {}}",base,gforemanyessan,Foreman 1974,Grammar of Yessan-Mayo,,,,book,"Foreman, Velma M.",1974,Grammar of Yessan-Mayo,,,,309,,,,,,,,Language Data: Asian-Pacific Series,4,Santa Ana: Summer Institute of Linguistics,,,,,,
130,"{""gbs"": {}}",base,gelbertrennell,Elbert 1988,Echo of a Culture: A Grammar of Rennell and Bellona,,,,book,"Elbert, Samuel H.",1988,Echo of a Culture: A Grammar of Rennell and Bellona,,,,xix+305,,,,Honolulu,,,,Oceanic Linguistics Special Publication,22,Honolulu: University of Hawaii Press,,,,,,
131,"{""gbs"": {}}",base,srosssisiqa,Ross 2002,Sisiqa,,,,incollection,"Ross, Malcolm",2002,Sisiqa,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",456-466,,,,Richmond,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
132,"{""gbs"": {}}",base,srosstakia,Ross 2002,Takia,,,,incollection,"Ross, Malcolm",2002,Takia,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",216-248,,,,,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
133,"{""gbs"": {}}",base,srossjabem,Ross 2002,Jabêm,,,,incollection,"Ross, Malcolm",2002,Jabêm,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",270-296,,,,Richmond,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
134,"{""gbs"": {}}",base,sbradshawczoborjabem,Bradshaw and Czobor 2005,Otto Dempwolff's Grammar of the Jabêm Language in New Guinea,,,,book,"Bradshaw, Joel and Czobor, Francisc",2005,Otto Dempwolff's Grammar of the Jabêm Language in New Guinea,,,,131,,,,Honolulu,,,,Oceanic Linguistics Special Publication,32,Honolulu: University of Hawai'i Press,,,,,,
135,"{""gbs"": {}}",base,phonrathmengen,Rath 1993,Mengen phonology essentials,,,,incollection,"Rath, Daniel D.",1993,Mengen phonology essentials,,Phonologies of Austronesian languages 2,"Clifton, John M.",71-98,,,,,http://www.sil.org/pacific/png/abstract.asp?id=34137,,,Data Papers on Papua New Guinea Languages,40,Ukarumpa: Summer Institute of Linguistics,,,,,,
136,"{""gbs"": {}}",base,glichtenberkmanam,Lichtenberk 1983,A Grammar of Manam,,,,book,"Lichtenberk, Frantisek",1983,A Grammar of Manam,,,,xxiii+647,,,,,,,,Oceanic Linguistics Special Publication,18,Honolulu: University of Hawaii Press,,,,,,
137,"{""gbs"": {}}",base,gjohnstonnakanai,Johnston 1980,Nakanai of New Britain: the Grammar of an Oceanic Language,,,,book,"Johnston, Raymond L.",1980,Nakanai of New Britain: the Grammar of an Oceanic Language,,,,xiii+310,,,,,,,,Pacific Linguistics: Series B,70,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
138,"{""gbs"": {}}",base,glawtonkiriwina,Lawton 1993,Topics in the Description of Kiriwina,,,,book,"Lawton, Ralph",1993,Topics in the Description of Kiriwina,,,,xii+348,,,,Canberra,,,,Pacific Linguistics: Series D,84,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
139,"{""gbs"": {}}",base,sdsenftkilivila,Senft 1986,Kilivila: The Language of the Trobriand Islanders,,,,book,"Senft, Gunter",1986,Kilivila: The Language of the Trobriand Islanders,,,,xiii+598,,,,Berlin,,,,Mouton Grammar Library,3,Berlin: Mouton de Gruyter,,,,,,
140,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 565, ""previewLink"": ""http://books.google.de/books?id=vcV4nQEACAAJ&dq=inauthor:Onishi,+Masayuki+intitle:A+Grammar+of+Motuna+(Bougainville,+Papua+New+Guinea)&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""1994"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:155515109"", ""type"": ""OTHER""}], ""authors"": [""Masayuki Onishi""], ""title"": ""A Grammar of Motuna (Bougainville, Papua New Guinea)"", ""infoLink"": ""http://books.google.de/books?id=vcV4nQEACAAJ&dq=inauthor:Onishi,+Masayuki+intitle:A+Grammar+of+Motuna+(Bougainville,+Papua+New+Guinea)&hl=&source=gbs_api"", ""categories"": [""Bougainville Island (Papua New Guinea)""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/A_Grammar_of_Motuna_Bougainville_Papua_N.html?hl=&id=vcV4nQEACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""pm1Yyaz1bOg"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=vcV4nQEACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""vcV4nQEACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/vcV4nQEACAAJ""}}",base,gonishimotuna,Onishi 1994,"A Grammar of Motuna (Bougainville, Papua New Guinea)",,,vcV4nQEACAAJ,phdthesis,"Onishi, Masayuki",1994,"A Grammar of Motuna (Bougainville, Papua New Guinea)",,,,xxiii+565,,,Australian National University,,,,,,,,,,,,,
141,"{""gbs"": {}}",base,donishimotuna,Onishi 2002,"An Annotated Word List of the Motuna Language (Bougainville, Papua New Guinea): Douglas L. Oliver's Materials",,,,book,"Onishi, Masayuki",2002,"An Annotated Word List of the Motuna Language (Bougainville, Papua New Guinea): Douglas L. Oliver's Materials",,,,523,,,,,,,,Asian and African Lexicon Series,41,"Research Institute for Languages and Cultures of Asia and Africa, Tokyo University of Foreign Studies",,,,,,
142,"{""gbs"": {}}",base,hvtypconstenlaintermedia,Constenla Umaña 1991,Las lenguas del área intermedia: introducción a su estudio areal,,,,book,"Constenla Umaña, Adolfo",1991,Las lenguas del área intermedia: introducción a su estudio areal,,,,216,,,,San José,,,,,,San José: Universidad de Costa Rica,,,,,,
143,"{""gbs"": {}}",base,gwilsonachagua,Wilson 1992,Una Descripción Preliminar de la Gramática del Achagua (Arawak),,,,book,"Wilson, Peter J.",1992,Una Descripción Preliminar de la Gramática del Achagua (Arawak),,,,vi+184,,,,"Riberalta, Bolivia",,,,,,"Riberalta, Bolivia: Instituto Lingüística del Verano",,,,,,
144,"{""gbs"": {}}",base,gpattearawakguyanes,Patte 2002,Structure de l'énoncé en Arawak des Guyanes,,,,phdthesis,"Patte, Marie-France",2002,Structure de l'énoncé en Arawak des Guyanes,,,,536,,,Université de la Sorbonne (Paris IV),,,,,,,,,,,,,
145,"{""gbs"": {}}",base,shilllonggu,Hill 2002,Longgu,,,,incollection,"Hill, Deborah",2002,Longgu,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",538-561,,,,Richmond,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
146,"{""gbs"": {}}",base,scorstonoliverroviana,Corston-Oliver 2002,Roviana,,,,incollection,"Corston-Oliver, Simon",2002,Roviana,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",467-497,,,,,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
147,"{""gbs"": {}}",base,sstammlavongai,Stamm 1988,A grammar of the Lavongai language,,,,incollection,"Stamm, Josef",1988,A grammar of the Lavongai language,,Lavongai Materials,"Beaumont, Clive H.",1-46,,,,Canberra,,,,Pacific Linguistics: Series D,82,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
148,"{""gbs"": {}}",base,sandersonrosssudest,Anderson and Ross 2002,Sudest,,,,incollection,"Anderson, Mike and Ross, Malcolm",2002,Sudest,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",322-346,,,,Richmond,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
149,"{""gbs"": {}}",base,svmoseltok,Mosel 1980,Tolai and Tok Pisin: The Influence of the Substratum on the Development of New Guinea Pidgin,,,,book,"Mosel, Ulrike",1980,Tolai and Tok Pisin: The Influence of the Substratum on the Development of New Guinea Pidgin,,,,viii+146,,,,,,,,Pacific Linguistics: Series B,73,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
150,"{""gbs"": {}}",base,gmoseltolai,Mosel 1984,Tolai Syntax and its Historical Development,,,,book,"Mosel, Ulrike",1984,Tolai Syntax and its Historical Development,,,,iv+223,,,,,,,,Pacific Linguistics: Series B,92,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
151,"{""gbs"": {}}",base,srosskele,Ross 2002,Kele,,,,incollection,"Ross, Malcolm",2002,Kele,,The Oceanic Languages,"Lynch, John and Ross, Malcolm and Crowley, Terry",123-147,,,,Richmond,,,,Curzon Language Family Series,,Richmond: Curzon,,,,,,
152,"{""gbs"": {}}",base,sdaviesfritzellramoaaina,Davies and Fritzell 1992,Duke of York grammar essentials (Ramoaaine),,,,misc,"Davies, Robyn and Fritzell, Lisbeth",1992,Duke of York grammar essentials (Ramoaaine),,,,89,,,,,,,,,,,,,Ukarumpa: Summer Institute of Linguistics,,,
153,"{""gbs"": {}}",base,hvrossnaesstemotu,Ross and Næss 2007,"An Oceanic Origin for Äiwoo, the Language of the Reef Islands?",,,,article,"Ross, Malcolm and Næss, Åshild",2007,"An Oceanic Origin for Äiwoo, the Language of the Reef Islands?",,,,456-498,,Oceanic Linguistics,,,,,2,,46,,,,,,,
154,"{""gbs"": {}}",base,typleemadakverbphrase,Lee 1989,The Madak verb phrase,,,,article,"Lee, Robert",1989,The Madak verb phrase,,,,65-114,,Language and Linguistics in Melanesia,,,,,,,20,,,,,,,
155,"{""gbs"": {}}",base,sleemadaksentences,Lee 2005 [1976-1988],Madak sentences,,,,misc,"Lee, Robert",2005 [1976-1988],Madak sentences,,,,,,,,,http://www.sil.org/pacific/png/abstract.asp?id=47688,,,,,,,,Ukarumpa: Ms.,,,
156,"{""gbs"": {""kind"": ""books#volume"", ""volumeInfo"": {""language"": ""en"", ""pageCount"": 360, ""previewLink"": ""http://books.google.de/books?id=aVzoNwAACAAJ&dq=inauthor:Hafford,+James+A.+intitle:Elements+of+Wuvulu+Grammar&hl=&cd=1&source=gbs_api"", ""publishedDate"": ""1999"", ""printType"": ""BOOK"", ""contentVersion"": ""preview-1.0.0"", ""industryIdentifiers"": [{""identifier"": ""OCLC:313723470"", ""type"": ""OTHER""}], ""authors"": [""James Alton Hafford""], ""title"": ""Elements of Wuvulu Grammar"", ""infoLink"": ""http://books.google.de/books?id=aVzoNwAACAAJ&dq=inauthor:Hafford,+James+A.+intitle:Elements+of+Wuvulu+Grammar&hl=&source=gbs_api"", ""categories"": [""Austronesian languages""], ""canonicalVolumeLink"": ""http://books.google.de/books/about/Elements_of_Wuvulu_Grammar.html?hl=&id=aVzoNwAACAAJ""}, ""saleInfo"": {""country"": ""DE"", ""saleability"": ""NOT_FOR_SALE"", ""isEbook"": false}, ""etag"": ""pWp8GzofeFU"", ""accessInfo"": {""webReaderLink"": ""http://books.google.de/books/reader?id=aVzoNwAACAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api"", ""publicDomain"": false, ""embeddable"": false, ""country"": ""DE"", ""textToSpeechPermission"": ""ALLOWED"", ""pdf"": {""isAvailable"": false}, ""quoteSharingAllowed"": false, ""viewability"": ""NO_PAGES"", ""epub"": {""isAvailable"": false}, ""accessViewStatus"": ""NONE""}, ""id"": ""aVzoNwAACAAJ"", ""selfLink"": ""https://www.googleapis.com/books/v1/volumes/aVzoNwAACAAJ""}}",base,ghaffordwuvulu,Hafford 1999,Elements of Wuvulu Grammar,,,aVzoNwAACAAJ,mastersthesis,"Hafford, James A.",1999,Elements of Wuvulu Grammar,,,,xv+179,,,University of Texas at Arlington,Ann Arbor,,,,,,,,,,,,
157,"{""gbs"": {}}",base,hvsgouldenmaleu,Goulden 1996,The Maleu and Bariai Languages of West New Britain,,,,incollection,"Goulden, Rick",1996,The Maleu and Bariai Languages of West New Britain,,Studies in the Languages of New Britain and Ireland 1: Austronesian Languages of the North New Guinea Cluster in Northwestern New Britain,"Ross, Malcolm D.",63-144,,,,Canberra,,,,Pacific Linguistics: Series C,135,"Canberra: Research School of Pacific and Asian Studies, Australian National University",,,,,,
158,"{""gbs"": {}}",base,smilliganmangseng,Milligan 1992,A tentative description of the grammar of the Mangseng language,,,,mastersthesis,"Milligan, Lloyd",1992,A tentative description of the grammar of the Mangseng language,,,,63,,,University of Texas at Arlington,,,,,,,,,,,,,
159,"{""gbs"": {}}",base,phonohtsubamelamela,Ohtsuba 1992,Organised Phonology Data for the Melamela language,,,,misc,"Ohtsuba, Hideki",1992,Organised Phonology Data for the Melamela language,,,,,,,,,,,,,,,,,"Ukarumpa: SIL, Ms",,,
160,"{""gbs"": {}}",base,gohtsubameramera,Ohtsuba 1996,Meramera Grammar Essentials,,,,misc,"Ohtsuba, Hideki",1996,Meramera Grammar Essentials,,,,,,,,,,,,,,,,,"Ukarumpa: SIL, Ms",,,
161,"{""gbs"": {}}",base,tohtsubameramera,Ohtsuba 1999,Meramera interlinearized texts,,,,misc,"Ohtsuba, Hideki",1999,Meramera interlinearized texts,,,,,,,,,,,,,,,,,"Ukarumpa: SIL, Ms",,,
162,"{""gbs"": {}}",base,typohtsubameramera,Ohtsuba 2000,Logical relations in Meramera,,,,misc,"Ohtsuba, Hideki",2000,Logical relations in Meramera,,,,,,,,,,,,,,,,,"Ukarumpa: SIL, Ms",,,
163,"{""gbs"": {}}",base,gallenhalia,Allen 1987,Halia grammar,,,,book,"Allen, Jerry",1987,Halia grammar,,,,219,,,,Ukarumpa,,,,Data Papers on Papua New Guinea Languages,32,Ukarumpa: Summer Institute of Linguistics,,,,,,
164,"{""gbs"": {}}",base,genfieldlao,Enfield 2007,A grammar of Lao,,,,book,"Enfield, Nick J.",2007,A grammar of Lao,,,,xxvii+567,,,,New York,,,,Mouton grammar library,38,New York: Mouton de Gruyter,,,,,,
165,"{""gbs"": {}}",base,hvsmoreytai2002,Morey 2002,The Tai languages of Assam,,,,phdthesis,"Morey, Stephen",2002,The Tai languages of Assam,,,,413,,,Monash University,,,,,,,,,,,,,
166,"{""gbs"": {}}",base,souyangli,Ouyang 1980,Li-yu jianzhi,,,,book,"Ouyang, Jueya",1980,Li-yu jianzhi,,,,137,Dai 1 ban,,,Beijing,,,,Zhongguo shaoshu minzu yuyan jianzhi congshu,,Beijing: National Minorities Publ.,,,,,,
167,"{""gbs"": {}}",base,sheluogelao,He and Luo 1983,Gelao-yu jianzhi,,,,book,"He, Jiashan and Luo, Meizhen",1983,Gelao-yu jianzhi,,,,107,,,,Beijing,,,,Zhongguo shaoshu minzu yuyan jianzhi congshu,,Beijing: National Minorities Publishing House,,,,,,
168,"{""gbs"": {}}",base,syangedmondsonkam,Yang and Edmondson 2008,Kam,,,,incollection,"Yang, Tongyin and Edmondson, Jerold A.",2008,Kam,,The Tai-Kadai Languages,"Diller, Anthony V. N. and Edmondson, Jerold A. and Luo, Yongxian",509-584,,,,London &New York,,,,,,London &New York: Routledge,,,,,,
169,"{""gbs"": {}}",base,glumaonan,Lu 2008,A Grammar of Maonan,,,,book,"Lu, Tian Qiao",2008,A Grammar of Maonan,,,,428,,,,,,,,,,Boca Raton: Universal,,,,,,
170,"{""gbs"": {}}",base,giwasakiingkaphiromthai,Iwasaki and Ingkaphirom 2005,A reference grammar of Thai,,,,book,"Iwasaki, Shoichi and Ingkaphirom, Preeya",2005,A reference grammar of Thai,,,,420,,,,,,,,Reference grammars,,Cambridge University Press,,,,,,
171,"{""gbs"": {}}",base,syubuyi,Yu 1980,Buyiyu jianzhi,,,,book,"Yu, Cuirong",1980,Buyiyu jianzhi,,,,113,,,,,,,,,,Beijing: Minzu Chubanshe,,,,,,
172,"{""gbs"": {}}",base,hvldluozhuang,Luo 2008,Zhuang,,,,incollection,"Luo, Yongxian",2008,Zhuang,,The Tai-Kadai Languages,"Diller, Anthony V. N. and Edmondson, Jerold A. and Luo, Yongxian",317-377,,,,London &New York,,,,,,London &New York: Routledge,,,,,,
173,"{""gbs"": {}}",base,ssantandreabandazande,Santandrea 1965,Languages of the Banda and Zande groups: A contribution to the comparative study,,,,book,"Santandrea, Stefano",1965,Languages of the Banda and Zande groups: A contribution to the comparative study,,,,254,,,,Napoli,,,,,,Napoli: Istituto Universitario Orientale,,,,,,
174,"{""gbs"": {}}",base,hldtuckerbryannonbantuneafrica,Tucker and Bryan 1966,Linguistic Analyses: The Non-Bantu Languages of North-Eastern Africa,,,,book,"Tucker, Archibald N. and Bryan, Margaret A.",1966,Linguistic Analyses: The Non-Bantu Languages of North-Eastern Africa,,,,634,2,,,London,,,,Handbook of African Languages,,London: Oxford University Press,,,,,,
